1.520437507575151369e-04,0.000000000000000000e+00,0.000000000000000000e+00
3.040875015150302629e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.602187537875755921e-03,3.040875015150302737e-04,0.000000000000000000e+00
1.201145630984369779e-02,4.561312522725453835e-04,0.000000000000000000e+00
1.642072508181163445e-02,6.081750030300605474e-04,0.000000000000000000e+00
2.235043136135472439e-02,2.888831264392787736e-03,0.000000000000000000e+00
2.630356888105011420e-02,3.344962516665332848e-03,0.000000000000000000e+00
3.208123140983568794e-02,4.257225021210423940e-03,0.000000000000000000e+00
3.846706894165132645e-02,3.801093768937878394e-03,1.520437507575151369e-04
4.409268771967939093e-02,8.362406291663333421e-03,0.000000000000000000e+00
5.047852525149502945e-02,8.818537543935878534e-03,6.081750030300605474e-04
5.336735651588780938e-02,1.079510630378357691e-02,1.520437507575151369e-04
6.351681326733127353e-02,1.976568759847696644e-02,1.368393756817636205e-03
7.018588153896505866e-02,2.046888243002223384e-02,1.368393756817636205e-03
8.002595783507109040e-02,2.051734804025752423e-02,4.865400024240484379e-03
8.502713953212119591e-02,2.951206281467292497e-02,3.953137519695394154e-03
1.073867991123434035e-01,4.420858655597884740e-02,1.824525009090181490e-02
1.842460259216111562e-01,8.945785073006158605e-02,4.117122531806906294e-02
2.780244040570309383e-01,3.462658332671433858e-01,1.625078647844133972e-01
4.549722940871970267e-01,7.535659652169949263e-01,5.947695225986292522e-01
9.533006749021792903e-01,2.154868001151890144e+00,1.451559535765940767e+00
1.775991816637176868e+00,2.308098502192157397e+00,1.646289254005541380e+00
3.192655178856200759e+00,2.824324525323437474e+00,2.745153758718343884e+00
